airport,iana_timezone,source
BOG,America/Bogota,OpenFlights airports.dat
BOH,Europe/London,OpenFlights airports.dat
BOI,America/Denver,OpenFlights airports.dat
BOJ,Europe/Sofia,OpenFlights airports.dat
BOM,Asia/Calcutta,OpenFlights airports.dat
BON,America/Curacao,OpenFlights airports.dat
BOO,Europe/Oslo,OpenFlights airports.dat
BOR,Europe/Paris,OpenFlights airports.dat
BOS,America/New_York,OpenFlights airports.dat
BOU,Europe/Paris,OpenFlights airports.dat
BOW,America/New_York,OpenFlights airports.dat
BOY,Africa/Ouagadougou,OpenFlights airports.dat
BPC,Africa/Douala,OpenFlights airports.dat
